Submission ID	Project	Lab	Organism	Status	Data Type	Assay	Tissue	Strain	Cell Line	Stage/Treatment	Antibody	Compound	Platform	RNAi Target	Date Data Submitted	Release Date	GEO/SRA IDs	Name
43	Lieb	Lieb	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-chip	whole organism	N2			HTZ-1, No Antibody Control		N/A		2008-09-10	2009-11-02	GSM257465	HTZ-1_N2_Mixed_Embryos (BK00001_HTZ1_N2_MXEMB)
445	Waterston	Green	Caenorhabditis elegans	released	splice sites, alignments, trace reads, EST alignments	RTPCR	whole organism	N2		L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo			N/A		2008-12-02	2009-01-25		C. elegans Intron Identification.set.20090106.2_3_2_2_3_2_2_2_2
446	Waterston	Green	Caenorhabditis elegans	released	splice sites, alignments, trace reads, EST alignments	RACE	whole organism	N2		L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo			N/A		2008-12-02	2009-01-25		C. elegans Intron Identification set.20090106.2_3_2_2_4_4_3_2_2
447	Waterston	Green	Caenorhabditis elegans	released	splice sites, alignments, trace reads, EST alignments	RACE	whole organism	N2		L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo			N/A		2008-12-02	2009-01-31		C. elegans Intron Identification set.20090106.2_3_2_2_5_3_3_2_2
448	Waterston	Green	Caenorhabditis elegans	released	splice sites, alignments, trace reads, EST alignments	RACE	whole organism	N2		L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo			N/A		2008-12-08	2009-01-25		C. elegans Intron Identification set.20090106.2_3_2_2_4_3_3_2_2
455	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, neuron	NW1229, panneural		embryo			Affymetrix		2009-09-23	2009-11-04		embryo panneural tiling array
456	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, embryonic cell, organism	N2, whole organism (embryo)		embryo			Affymetrix		2009-09-23	2009-11-04		embryo all cells reference tiling array
457	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, intestinal cell	JR1130, intestinal cells		embryo			Affymetrix		2009-09-23	2009-11-04		embryo intestine tiling array
458	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, coelomocyte	TV1112, coelomocytes		embryo			Affymetrix		2009-09-23	2009-11-04		embryo coelomocytes tiling array
459	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, AVA	NC1749, embryo-AVA		embryo			Affymetrix		2009-09-23	2009-11-04		embryo AVA neurons tiling array
460	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, PVD, OLL	NC1021		L3-L4 molt	ser-2		Affymetrix		2009-09-23	2009-11-07		L3-L4 PVD & OLL neurons tiling array
461	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, organism	N2		L2 larva	FLAG		Affymetrix		2009-09-23	2009-11-07		L2 reference (mockIP) tiling array
