Description	Project	Lab	Assay	Data Type	Validation Dataset	Experimental Factor	Replicates	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	Submission ID	GEO/SRA IDs	GFF Files
HTZ-1_N2_Mixed_Embryos (BK00001_HTZ1_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=htz-1;AbName=HTZ-1;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-09-10	2010-02-11	released	43	GSM257465	computed_peaks/HTZIP_chipotle_peaks_WS180.gff3
POL-2_N2_Mixed_Embryos (CVMMS126R_8WG16_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=ama-1;AbName=8WG16;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-09-10	2010-02-17	released	44	GSM257637	
DPY-27_N2_Mixed_Embryos (JL00001_DPY27_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-27;AbName=DPY-27;Array=86bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-09-21	2009-12-04	released	90	GSM147959	computed_peaks/DPY27_peaks.gff
SDC-3_N2_Mixed_Embryos_(JL00002_SDC3_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=sdc-3;AbName=SDC-3;Array=86bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-09-30	2009-12-04	released	127	GSM147967	computed_peaks/SDC3_chrX_peaks.gff
POL-2_CTD_Mixed_Embryos (ABAB5408_4H8_N2_MXEMB)	Lieb	Desai	ChIP-chip	chromatin		Target=ama-1;AbName=ab5408;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-06-02	2010-02-15	released	174	GSE22669, GSM562194, GSM562195, GSM562196, GSM562197, GSM562198, GSM562199	computed_peaks/ABAB5408_4H8_N2_MXEMB_peaks.gff
Histone_H3K36me3_from_N2_L3_larvae_(AB9050_H3K36ME3_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K36Me3;AbName=H3K36Me3;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-01-04	2010-02-16	released	175	GSE22670, GSM562200, GSM562201, GSM562202	
Histone_H3K4me3_from_N2_L3_larvae_(AR0169_H3K4me3_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K4Me3;AbName=H3K4Me3;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-01-04	2010-02-16	released	176	GSE22697, GSM562582, GSM562583, GSM562584	
Negative_control_antibody_from_N2_L3_larvae_(JA00002_IGG_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=none;AbName=JA00002_IGG;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-01-04	2010-02-17	released	179	GSE22698, GSM562585, GSM562586, GSM562587	
Histone_H3K9me3_from_N2_L3_larvae_(UP07442_H3K9ME3_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K9Me3;AbName=H3K9Me3;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-01-04	2010-02-17	released	188	GSE22699, GSM562588, GSM562589, GSM562590	
HCP-3_CENP-A_Mixed_Embryos_(OD00001_HCP3_N2_MXEMB)	Lieb	Desai	ChIP-chip	chromatin		Target=hcp-3;AbName=OD00001_HCP3;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-01-04	2010-02-17	released	194	GSE15064, GSM376935, GSM376936, GSM376937, GSM376938, GSM376939, GSM376940, GSM376941, GSM376942, GSM376943	
MES-4_FLAG_Early_Embryos_(SGF3165_FLAG_MES4FLAG_EEMB)	Lieb	Strome	ChIP-chip	chromatin		Target=mes-3 promoter::MES-4 coding sequence::GFP::3xFLAG::mes-4 3' sequence;AbName=SGF3165_FLAG;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		MES4FLAG	whole organism	embryo: blastula embryo, gastrulating embryo	2009-01-04	2009-02-02	released	195	GSE16133, GSM403975, GSM403976, GSM403977, GSM403978, GSM403979, GSM403980, GSM403981, GSM403982, GSM403983	computed_peaks/SGF3165_FLAG_MES4FLAG_EEMB_peaks.gff
NA_MES4FLAG_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=mes-3 promoter::MES-4 coding sequence::GFP::3xFLAG::mes-4 3' sequence;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		MES4FLAG	whole organism	embryo: blastula embryo, gastrulating embryo	2009-01-15	2009-12-04	released	202	GSE22700, GSM562591, GSM562592, GSM562593, GSM562594, GSM562595, GSM562596	
mid_L2_20dC_14hrs_post_L1	Waterston	Waterston	RNA-seq	RNA profiling		Version=3	1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-03-05	2009-11-19	replaced	333 deprecated by 642	SRX001872	
DPY-26_N2_Mixed_Embryos_(JL00003_DPY26_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-26;AbName=JL00003_DPY26;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-02-17	2009-03-17	released	334	GSE16132, GSM403972, GSM403973, GSM403974	
MIX-1_N2_Mixed_Embryos_(JL00004_MIX1_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=mix-1;AbName=JL0004_MIX1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-02-19	2009-03-22	released	336	GSE16268, GSM409467, GSM409468, GSM409469	
