ID	Project	Lab	Organism	Data Type	Experiment Type	Tissue	Strain	Cell Line	Stage	Antibody	Creation Date	Release Date	GEO IDs	Name
21	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	BEAF-32, No Antibody Control	2009-10-15	2009-10-15		E0-12_BEAF 32 ChIP-chip
22	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	CP190, No Antibody Control	2009-10-15	2009-10-15		E0-12_CP190 ChIP-chip
23	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	GAF, No Antibody Control	2009-09-17	2009-10-08		Embryo 0-12h GAF ChIP-chip
24	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	mod(mdg4), No Antibody Control	2009-09-17	2009-10-08		Embryo 0-12h Mod(mdg4) ChIP-chip
27	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	Su(Hw), No Antibody Control	2009-09-17	2009-10-08		Embryo 0-12h SuHw ChIP-chip
34	Celniker	Celniker	Drosophila melanogaster	splice sites, transcription/coding junctions, alignments, gene models, EST alignments, three_prime_untranslated_region, five_prime_untranslated_region, polyA_site	RTPCR, RACE	early embryonic cell, blastoderm cell, gastrula cell	y; cn bw sp		cleavage stage, extended germ band stage, gastrula stage, pre-blastoderm stage		2009-09-17	2009-10-02		5' RACE (mixed-stage embryos)
35	Celniker	Brent	Drosophila melanogaster	splice sites, transcription/coding junctions, gene models, transcript fragments, EST alignments	Computational annotation	N/A	N/A	N/A	N/A	N/A	2009-09-17	2009-03-04		DMG1 gene models
36	Celniker	Brent	Drosophila arizonae, Drosophila sp., Drosophila simulans, Drosophila melanogaster	splice sites, transcription/coding junctions, gene models, transcript fragments, EST alignments, cDNA alignments, natural_transposable_element	Computational annotation	N/A	N/A	N/A	N/A	N/A	2009-09-17	2009-03-04		DMG2 gene models
37	Celniker	Brent	Drosophila simulans, Drosophila arizonae, Drosophila sp., Drosophila melanogaster	splice sites, transcription/coding junctions, gene models, transcript fragments, EST alignments, cDNA alignments, natural_transposable_element	Computational annotation	N/A	N/A	N/A	N/A	N/A	2009-09-17	2009-03-05		DMG4 gene models
40	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	1182-4H	late embryonic stage		2009-09-17	2009-09-24	GSE16269, GSM409470, GSM409471, GSM409472	Dm_1182-4H_TotalRNA_p200_038-040-042_38bp
48	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	ventral prothoracic disc	N/A	CME L1	third instar larval stage		2009-09-17	2009-09-24	GSE16270, GSM409473, GSM409474, GSM409475	Dm_CME-L1_TotalRNA_p200_086-088-090_38bp
49	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage		2009-09-17	2009-09-24	GSE16271, GSM409476, GSM409477, GSM409478	Dm_CME-W1-Cl.8p_TotalRNA_p200_060-062-064_38bp
50	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	GM2	late embryonic stage		2009-09-17	2009-09-24	GSE16272, GSM409479, GSM409480, GSM409481	Dm_GM2_TotalRNA_p200_008-010-012_38bp
51	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	Kc167	late embryonic stage		2009-09-17	2009-09-24	GSE16273, GSM409482, GSM409483, GSM409484	Dm_Kc167_TotalRNA_p200_002-004-006_38bp
52	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	CNS-derived cell-line	N/A	ML-DmBG1-c1	third instar larval stage		2009-09-17	2009-09-24	GSE16274, GSM409485, GSM409486, GSM409487	Dm_ML-DmBG1-c2_TotalRNA_p200_116-118-120_38bp
53	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage		2009-09-17	2009-09-24	GSE16275, GSM409488, GSM409489, GSM409490	Dm_ML-DmBG3-c2_TotalRNA_p200_122-124-126_38bp
