Submission ID	Project	Lab	Organism	Status	Data Type	Assay	Tissue	Strain	Cell Line	Stage/Treatment	Antibody	Compound	Platform	RNAi Target	Date Data Submitted	Release Date	GEO/SRA IDs	Name	GFF Files
21	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	fly_genes:BEAF-32, fly_genes:BEAF-32		Affymetrix		2008-08-15	2009-01-26		E0-12_BEAF 32 ChIP-chip	BEAF-32_1fdr.gff
22	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	fly_genes:Cp190, fly_genes:Cp190		Affymetrix		2008-08-15	2008-08-15		E0-12_CP190 ChIP-chip	CP190_1fdr.gff
23	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	fly_genes:Trl, fly_genes:Trl		Affymetrix		2008-08-15	2009-01-26		Embryo 0-12h GAF ChIP-chip	GAF_1fdr.gff
24	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	fly_genes:mod(mdg4), fly_genes:mod(mdg4)		Affymetrix		2008-08-15	2009-01-26		Embryo 0-12h Mod(mdg4) ChIP-chip	Mod(mdg4)_1fdr.gff
27	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	fly_genes:su(Hw), fly_genes:su(Hw)		Affymetrix		2008-08-15	2009-01-26		Embryo 0-12h SuHw ChIP-chip	SuHw_1fdr.gff
34	Celniker	Celniker	Drosophila melanogaster	released	splice sites, transcription/coding junctions, alignments, gene models, EST alignments, three_prime_untranslated_region, five_prime_untranslated_region, polyA_site	RACE	early embryonic cell, blastoderm cell, gastrula cell	y; cn bw sp		cleavage stage, extended germ band stage, gastrula stage, pre-blastoderm stage			N/A		2008-03-26	2009-02-03		5' RACE (mixed-stage embryos)	2008-03-26.1.gff
40	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	1182-4H	late embryonic stage			Affymetrix		2008-03-26	2009-01-27	GSE16269, GSM409470, GSM409471, GSM409472	Dm_1182-4H_TotalRNA_p200_038-040-042_38bp	1182-4H.bed.gff3
48	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	ventral prothoracic disc	N/A	CME L1	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16270, GSM409473, GSM409474, GSM409475	Dm_CME-L1_TotalRNA_p200_086-088-090_38bp	CME-L1.bed.gff3
49	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16271, GSM409476, GSM409477, GSM409478	Dm_CME-W1-Cl.8p_TotalRNA_p200_060-062-064_38bp	CME-W1-Cl.8+.bed.gff3
50	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	GM2	late embryonic stage			Affymetrix		2008-03-26	2009-01-27	GSE16272, GSM409479, GSM409480, GSM409481	Dm_GM2_TotalRNA_p200_008-010-012_38bp	GM2.bed.gff3
51	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	Kc167	late embryonic stage			Affymetrix		2008-03-26	2009-01-27	GSE16273, GSM409482, GSM409483, GSM409484	Dm_Kc167_TotalRNA_p200_002-004-006_38bp	Kc167.bed.gff3
52	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	CNS-derived cell-line	N/A	ML-DmBG1-c1	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16274, GSM409485, GSM409486, GSM409487	Dm_ML-DmBG1-c2_TotalRNA_p200_116-118-120_38bp	ML-DmBG1-c1.bed.gff3
53	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16275, GSM409488, GSM409489, GSM409490	Dm_ML-DmBG3-c2_TotalRNA_p200_122-124-126_38bp	ML-DmBG3-c2.bed.gff3
54	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	eye-antenna disc-derived cell-line	N/A	ML-DmD11	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16276, GSM409491, GSM409492, GSM409493	Dm_ML-DmD11_TotalRNA_p200_170-172-174_38bp	ML-DmD11.bed.gff3
55	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD17-c3	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16277, GSM409494, GSM409495, GSM409496	Dm_DmD17-c3_TotalRNA_p200_194-196-198_38bp	ML-DmD17-c3.bed.gff3
56	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	antenna disc-derived cell-line	N/A	ML-DmD20-c2	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16278, GSM409497, GSM409498, GSM409499	Dm_DmD20-c2_TotalRNA_p200_182-184-186_38bp	ML-DmD20-c2.bed.gff3
57	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	antenna disc-derived cell-line	N/A	ML-DmD20-c5	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16279, GSM409500, GSM409501, GSM409502	Dm_DmD20-c5_TotalRNA_p200_188-190-192_38bp	ML-DmD20-c5.bed.gff3
58	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD21	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16280, GSM409503, GSM409504, GSM409505	Dm_DmD21_TotalRNA_p200_050-052-054_38bp	ML-DmD21.bed.gff3
59	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD32	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16281, GSM409506, GSM409507, GSM409508	Dm_DmD32_TotalRNA_p200_164-166-168_38bp	ML-DmD32.bed.gff3
60	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	imaginal disc-derived cell-line	N/A	ML-DmD4-c1	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16282, GSM409509, GSM409510, GSM409511	Dm_DmD4-c1_TotalRNA_p200_140-142-144_38bp	ML-DmD4-c1.bed.gff3
61	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD8	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16283, GSM409512, GSM409513, GSM409514	Dm_DmD8_TotalRNA_p200_206-208-210_38bp	ML-DmD8.bed.gff3
62	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD9	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16284, GSM409515, GSM409516, GSM409517	Dm_DmD9_TotalRNA_p200_072-074-076_38bp	ML-DmD9.bed.gff3
63	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S1	late embryonic stage			Affymetrix		2008-03-26	2009-01-27	GSE16285, GSM409518, GSM409519, GSM409520	Dm_S1_TotalRNA_p200_026-028-030_38bp	S1.bed.gff3
64	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage			Affymetrix		2008-03-26	2009-01-27	GSE16286, GSM409521, GSM409522, GSM409523	Dm_S2-DRSC_TotalRNA_p200_014-016-018_38bp	S2-DRSC.bed.gff3
65	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S2R+	late embryonic stage			Affymetrix		2008-03-26	2009-01-27	GSE16287, GSM409524, GSM409525, GSM409526	Dm_S2Rp_TotalRNA_p200_020-022-024_38bp	S2R+.bed.gff3
66	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S3	late embryonic stage			Affymetrix		2008-03-26	2009-01-27	GSE16288, GSM409527, GSM409528, GSM409529	Dm_S3_TotalRNA_p200_104-106-108_38bp	S3.bed.gff3
67	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	Sg4	late embryonic stage			Affymetrix		2008-03-26	2009-01-27	GSE16289, GSM409530, GSM409531, GSM409532	Dm_Sg4_TotalRNA_p200_200-202-204_38bp	Sg4.bed.gff3
69	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD16-c3	third instar larval stage			Affymetrix		2008-03-26	2009-01-27	GSE16290, GSM409533, GSM409534, GSM409535	Dm_DmD16-c3_TotalRNA_p200_138-136-138_38bp	ML-DmD16-c3.bed.gff3
93	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		first instar larval stage, larval stage			Affymetrix		2008-09-23	2009-01-28	GSE16292, GSM409538, GSM409539, GSM409540	Dm_y[1]cn[1] bw[1] sp[1]_larval_L1_TotalRNA_p200_284-286-288_38bp	Dro2_AS_Dm_L1_larvae_729.gff
94	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage, second instar larval stage			Affymetrix		2008-09-23	2009-01-27	GSE16293, GSM409541, GSM409542, GSM409543	Dm_y[1]cn[1] bw[1] sp[1]_larval_L2_TotalRNA_p200_290-292-294_38bp	Dro2_AS_Dm_L2_larvae_659.gff
95	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		prepupal stage, prepupal stage P1			Affymetrix		2008-09-23	2009-01-27	GSE16294, GSM409544, GSM409545, GSM409546	Dm_y[1]cn[1] bw[1] sp[1]_prepupa_WhitePrePupae_TotalRNA_p200_326-328-330_38bp	Dro2_AS_Dm_WPP_RW_788.gff
96	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		adult stage			Affymetrix		2008-09-23	2009-01-27	GSE16295, GSM409547, GSM409548, GSM409549	Dm_y[1]cn[1] bw[1] sp[1]_adult_Female_1dayPostEclosion_TotalRNA_p200_374-376-378_38bp	Dro2_AS_DroAdF-Ecl+1day_754.gff
97	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		adult stage			Affymetrix		2008-09-23	2009-01-27	GSE16296, GSM409550, GSM409551, GSM409552	Dm_y[1]cn[1] bw[1] sp[1]_adult_Female_5dayPostEclosion_TotalRNA_p200_386-388-390_38bp	Dro2_AS_DroAdF-Ecl+5day_755.gff
98	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		adult stage			Affymetrix		2008-09-23	2009-01-28	GSE16297, GSM409553, GSM409554, GSM409555	Dm_y[1]cn[1] bw[1] sp[1]_adult_Male_1dayPostEclosion_TotalRNA_p200_368-370-372_38bp	Dro2_AS_DroAdM-Ecl+1day_730.gff
